,log2FoldChange,pvalue
FBgn0000003,-1.02604541,0.787451485
FBgn0000008,-0.002151424,0.992332803
FBgn0000014,0.496735568,0.818136809
FBgn0000015,1.882761702,0.371420634
FBgn0000017,0.24002523,0.056832802
FBgn0000018,0.104799112,0.479713396
FBgn0000022,0.719763685,0.850338071
FBgn0000024,-0.210807084,0.760089495
FBgn0000028,-1.414214711,0.610894176
FBgn0000032,0.091905049,0.533776067
FBgn0000036,0.065449221,0.977345294
FBgn0000037,-0.46306806,0.346018855
FBgn0000038,NA,NA
FBgn0000039,-1.414214711,0.610894176
FBgn0000042,-0.314524848,0.025224346
FBgn0000043,-0.619578732,5.05E-07
FBgn0000044,-0.41497281,0.317016696
FBgn0000045,-0.152661935,0.830670111
FBgn0000046,-0.604238548,0.189990461
FBgn0000047,-0.682066957,0.300037094
FBgn0000052,0.135495999,0.321579968
FBgn0000053,-0.296060125,0.031007912
FBgn0000054,0.119920699,0.311528254
FBgn0000055,-0.900294227,0.813209608
FBgn0000056,NA,NA
FBgn0000057,0.023549851,0.846413722
FBgn0000061,-0.310106427,0.834039779
FBgn0000063,-0.20559274,0.113535255
FBgn0000064,-0.299544254,0.003787249
FBgn0000071,-2.679583651,9.51E-49
FBgn0000075,0.414316618,0.730792726
FBgn0000077,0.055965059,0.721030563
FBgn0000078,1.02026003,0.010222253
FBgn0000079,1.067095822,0.002578819
FBgn0000083,0.008288093,0.950846329
FBgn0000084,0.148623275,0.383189401
FBgn0000092,-0.753564352,0.129618851
FBgn0000094,-0.452451865,0.317513586
FBgn0000097,-0.007042919,0.95382165
FBgn0000099,0.442704652,0.757682235
FBgn0000100,0.161214186,0.216440537
FBgn0000108,-0.205864542,0.57902544
FBgn0000109,0.240012845,0.392709935
FBgn0000114,0.014860701,0.989114243
FBgn0000115,-0.063957227,0.59202973
FBgn0000116,-1.290785884,1.08E-11
FBgn0000117,-0.156734041,0.178620123
FBgn0000119,0.105325583,0.376813902
FBgn0000120,NA,NA
FBgn0000121,-0.081799587,0.894397024
FBgn0000137,-0.900294227,0.813209608
FBgn0000139,0.403365732,0.000325864
FBgn0000140,-0.071879008,0.618795329
FBgn0000142,0.098695085,0.356710408
FBgn0000146,-0.490157618,8.67E-07
FBgn0000147,-0.41966983,0.00262709
FBgn0000150,-0.277537418,0.054395273
FBgn0000152,-0.136056986,0.337373309
FBgn0000153,0.195180312,0.635520748
FBgn0000157,1.668589638,0.644447805
FBgn0000158,-0.127613565,0.855668997
FBgn0000163,0.121624719,0.432480274
FBgn0000166,0.015886836,0.981978569
FBgn0000171,0.029380873,0.856674295
FBgn0000173,-0.153717759,0.19748527
FBgn0000179,-0.803687496,0.66354605
FBgn0000180,-0.39732751,0.320781161
FBgn0000181,0.166771093,0.09843448
FBgn0000182,0.205920892,0.821808232
FBgn0000183,0.013425677,0.87375325
FBgn0000206,NA,NA
FBgn0000210,-0.034101569,0.823992567
FBgn0000212,-0.099425465,0.342258385
FBgn0000216,0.772410189,0.839486609
FBgn0000221,0.252386226,0.121956805
FBgn0000227,NA,NA
FBgn0000228,0.104993468,0.402242583
FBgn0000229,0.114382241,0.528864794
FBgn0000233,0.91623052,0.276356971
FBgn0000239,0.02792844,0.768042621
FBgn0000241,-0.051591199,0.94421247
FBgn0000242,-0.114292632,0.487388653
FBgn0000244,0.397801345,0.002948186
FBgn0000246,-0.168165269,0.583708554
FBgn0000247,0.162857488,0.179570232
FBgn0000250,0.101571143,0.337827332
FBgn0000251,-0.427990028,0.721079654
FBgn0000253,-0.079676199,0.602058637
FBgn0000256,0.450826538,0.000504323
FBgn0000257,-0.057281551,0.690289421
FBgn0000258,-0.060273428,0.877717253
FBgn0000259,0.047232368,0.792735351
FBgn0000261,0.162761951,0.201543669
FBgn0000273,0.12556266,0.399686368
FBgn0000274,NA,NA
FBgn0000276,-0.1521378,0.712158036
FBgn0000277,0.487069153,0.334478544
FBgn0000278,0.669781737,0.025503278
FBgn0000279,-0.489264355,0.033855473
FBgn0000280,-1.023040517,0.703035545
FBgn0000281,0.361138404,0.837482181
FBgn0000283,0.120207583,0.305180192
FBgn0000286,0.531569097,5.27E-05
FBgn0000287,-0.242702973,0.920948354
FBgn0000289,0.180864311,0.076531758
FBgn0000299,-0.636464548,1.60E-06
FBgn0000303,-0.740287711,0.494059765
FBgn0000307,0.054239592,0.743240883
FBgn0000308,-0.037831314,0.799367169
FBgn0000313,-0.017633743,0.94073407
FBgn0000316,0.323151511,0.819594934
FBgn0000317,0.07232668,0.573141115
FBgn0000318,-0.254232623,0.069774502
FBgn0000319,-0.024704367,0.837282057
FBgn0000320,0.767106246,0.698804806
FBgn0000326,-0.160264651,0.263236296
FBgn0000330,0.174240188,0.316040577
FBgn0000337,-0.006702575,0.98584069
FBgn0000338,-0.192089085,0.254317208
FBgn0000339,-0.008440371,0.96027426
FBgn0000346,-0.641407619,0.003242875
FBgn0000351,-0.384315631,0.236331388
FBgn0000352,-0.04157558,0.701088497
FBgn0000355,0.764643527,0.792244579
FBgn0000356,NA,NA
FBgn0000357,-0.391525148,0.670147907
FBgn0000358,0.719763685,0.850338071
FBgn0000359,1.058434596,0.660562138
FBgn0000360,-0.051744481,0.983790804
FBgn0000363,0.053533434,0.956530505
FBgn0000370,0.094150738,0.399163633
FBgn0000376,-0.089403139,0.514861098
FBgn0000377,-0.088609396,0.448781939
FBgn0000382,0.125664634,0.37798836
FBgn0000384,-0.021198397,0.897609996
FBgn0000392,-0.465805179,2.02E-05
FBgn0000394,0.188441731,0.138289678
FBgn0000395,0.376217326,0.062932277
FBgn0000404,-0.063708392,0.528181288
FBgn0000405,-0.526630792,1.02E-05
FBgn0000406,2.033194599,3.49E-13
FBgn0000409,0.10314653,0.361868541
FBgn0000411,NA,NA
FBgn0000412,-0.233856794,0.035024525
FBgn0000413,0.007356536,0.961391216
FBgn0000414,0.241932378,0.018032892
FBgn0000416,0.370506538,9.94E-07
FBgn0000422,-0.440176694,0.516142489
FBgn0000426,-0.195364978,0.191151362
FBgn0000427,0.772410189,0.839486609
FBgn0000439,NA,NA
FBgn0000442,-0.341464202,0.719188207
FBgn0000447,-0.527156784,8.71E-06
FBgn0000448,-0.366694513,0.55705731
